,cat_id,cat_name,cat_title,cat_description,cat_num_tokens,cat_market_cap,coin_id,coin_name,coin_sym,date_added,platform_name,token_address,is_active
53,60308028d2088f200c58a005,BNB Chain Ecosystem,Top BNB Chain Tokens by Market Capitalization,BNB Chain dual-chain architecture will empower its users to build their decentralized apps and digital assets on one blockchain and take advantage of the fast trading to exchange on the other.,2007,837284661166.36,8858,Cub Finance,CUB,2021-03-17T00:00:00.000Z,BNB Smart Chain (BEP20),0x50d809c74e0b8e49e7b4c65bb3109abe3ff4c1c1,1
54,60308028d2088f200c58a005,BNB Chain Ecosystem,Top BNB Chain Tokens by Market Capitalization,BNB Chain dual-chain architecture will empower its users to build their decentralized apps and digital assets on one blockchain and take advantage of the fast trading to exchange on the other.,2007,837284661166.36,10559,Shield Token,SID,2021-06-22T00:00:00.000Z,BNB Smart Chain (BEP20),0x9DadF352E3F997616F2562dd4Af246c971f6cb67,0
55,60308028d2088f200c58a005,BNB Chain Ecosystem,Top BNB Chain Tokens by Market Capitalization,BNB Chain dual-chain architecture will empower its users to build their decentralized apps and digital assets on one blockchain and take advantage of the fast trading to exchange on the other.,2007,837284661166.36,16808,Doom Hero Dao,DHD,2022-01-04T02:12:24.000Z,BNB Smart Chain (BEP20),0xac55b04af8e9067d6c53785b34113e99e10c2a11,1
56,60308028d2088f200c58a005,BNB Chain Ecosystem,Top BNB Chain Tokens by Market Capitalization,BNB Chain dual-chain architecture will empower its users to build their decentralized apps and digital assets on one blockchain and take advantage of the fast trading to exchange on the other.,2007,837284661166.36,8859,CoffeeSwap,COFFEE,2021-03-17T00:00:00.000Z,BNB Smart Chain (BEP20),0xff484b38365896a10e68594a8754a3878af75e5b,1
57,60308028d2088f200c58a005,BNB Chain Ecosystem,Top BNB Chain Tokens by Market Capitalization,BNB Chain dual-chain architecture will empower its users to build their decentralized apps and digital assets on one blockchain and take advantage of the fast trading to exchange on the other.,2007,837284661166.36,10563,Decubate,DCB,2021-06-22T00:00:00.000Z,BNB Smart Chain (BEP20),0xeac9873291ddaca754ea5642114151f3035c67a2,1
58,60308028d2088f200c58a005,BNB Chain Ecosystem,Top BNB Chain Tokens by Market Capitalization,BNB Chain dual-chain architecture will empower its users to build their decentralized apps and digital assets on one blockchain and take advantage of the fast trading to exchange on the other.,2007,837284661166.36,16871,DPK,DPK TOKEN,2022-01-04T23:22:41.000Z,BNB Smart Chain (BEP20),0xff73adcc8cc0556467d8fe78fb4fd0c3da51f151,1
59,60308028d2088f200c58a005,BNB Chain Ecosystem,Top BNB Chain Tokens by Market Capitalization,BNB Chain dual-chain architecture will empower its users to build their decentralized apps and digital assets on one blockchain and take advantage of the fast trading to exchange on the other.,2007,837284661166.36,9886,MoonPirate,MOONPIRATE,2021-05-17T00:00:00.000Z,BNB Smart Chain (BEP20),0xf09b7b6ba6dab7cccc3ae477a174b164c39f4c66,1
60,60308028d2088f200c58a005,BNB Chain Ecosystem,Top BNB Chain Tokens by Market Capitalization,BNB Chain dual-chain architecture will empower its users to build their decentralized apps and digital assets on one blockchain and take advantage of the fast trading to exchange on the other.,2007,837284661166.36,8860,WaterDefi,WATER,2021-03-17T00:00:00.000Z,BNB Smart Chain (BEP20),0x57f81252d1187754048f5af1938226b9034b599f,0
61,60308028d2088f200c58a005,BNB Chain Ecosystem,Top BNB Chain Tokens by Market Capitalization,BNB Chain dual-chain architecture will empower its users to build their decentralized apps and digital assets on one blockchain and take advantage of the fast trading to exchange on the other.,2007,837284661166.36,10567,Modern Liquidity Token,MLT,2021-06-22T00:00:00.000Z,BNB Smart Chain (BEP20),0xbcd82b459063ab80518b391a7e2a054f022dca67,0
62,60308028d2088f200c58a005,BNB Chain Ecosystem,Top BNB Chain Tokens by Market Capitalization,BNB Chain dual-chain architecture will empower its users to build their decentralized apps and digital assets on one blockchain and take advantage of the fast trading to exchange on the other.,2007,837284661166.36,16872,Xenoverse Crypto,XENOX,2022-01-05T08:04:13.000Z,BNB Smart Chain (BEP20),0x80Df74Dc3dE4477eaEE5c3E14348c6bF7ffFAd87,1
63,60308028d2088f200c58a005,BNB Chain Ecosystem,Top BNB Chain Tokens by Market Capitalization,BNB Chain dual-chain architecture will empower its users to build their decentralized apps and digital assets on one blockchain and take advantage of the fast trading to exchange on the other.,2007,837284661166.36,9887,Gaptt,GAPT,2021-05-17T00:00:00.000Z,BNB Smart Chain (BEP20),0x24c5AaA98eD11594a4Ebb69E065790C716C39E10,0
64,60308028d2088f200c58a005,BNB Chain Ecosystem,Top BNB Chain Tokens by Market Capitalization,BNB Chain dual-chain architecture will empower its users to build their decentralized apps and digital assets on one blockchain and take advantage of the fast trading to exchange on the other.,2007,837284661166.36,16928,Elon GOAT,EGT,2022-01-06T05:00:16.000Z,BNB Smart Chain (BEP20),0x2ca25319e2e63719f87221d8bf3646f8f5de5ded,1
